,Name,Score,Location,Category,Rating,Price,Review_count,business_id
129,tsubaki,97.0,"1356 Allison Ave,Los Angeles, CA 90026",izakaya,4.0,3.0,301,Aq1vM8LCcb8mdpCOKCdlsw
130,redwood bar & grill,94.0,"316 W 2nd St,Los Angeles, CA 90012",tradamerican,3.5,2.0,666,blQ_tkX_WFeyj34lVvwEEQ
131,wokcano,97.0,"800 W 7th St,Los Angeles, CA 90017",chinese,3.5,2.0,1545,san8eG8xZumc9tShj65MPw
132,oh my crab,94.0,"3000 W 6th St,Los Angeles, CA 90020",seafood,4.0,2.0,274,borw1LsTQAwaCIoNoa35bw
133,la café,95.0,"639 S Spring St,Los Angeles, CA 90014",breakfast_brunch,3.5,2.0,2083,-gvbpI_PayXy9agbPiGbpA
134,pizza sociale,91.0,"448 West Olympic Blvd,Los Angeles, CA 90015",pizza,4.5,2.0,224,Y7-nQUmDAJd0MrcHDpzX9g
135,won kok restaurant,87.0,"210 Alpine St,Los Angeles, CA 90012",chinese,3.5,1.0,1396,xPpCIt9Qes6vdXRum03g_A
136,tony's burgers,92.0,"2115 S Central Ave,Los Angeles, CA 90011",tradamerican,4.5,1.0,22,VlhiIo35fRV7lVrUi4Tuew
137,men oh tokushima ramen,93.0,"456 E 2nd St,Los Angeles, CA 90012",ramen,4.0,2.0,1316,AIQpwyjNV3VdsGMjf1WNcg
138,guisados dtla,97.0,"541 S Spring St,Ste 101,Los Angeles, CA 90013",mexican,4.5,1.0,1951,VqG_rccDoUXreiaHH0DEUA
139,aloha café,96.0,"410 E 2nd St,Honda Plaza,Los Angeles, CA 90012",breakfast_brunch,4.0,2.0,735,kLMwIMioGwempP4oCuQp0A
140,bbq chicken little tokyo,94.0,"442 E 2nd St,Los Angeles, CA 90012",korean,4.0,2.0,311,A0Ywsdx5X6g8icczpAayhQ
141,new kamara,95.0,"709 N Hill St,Ste 14,Los Angeles, CA 90012",chinese,4.5,1.0,63,5zYBoDGqO__fe5TYs6JapA
142,tocaya - dtla,91.0,"801 S Olive St,#B,Los Angeles, CA 90014",mexican,3.5,2.0,313,28HzNE8LVC3KZ1jKvAc8hg
143,crispy school,97.0,"526 S Occidental Blvd,Los Angeles, CA 90057",burgers,5.0,2.0,444,SqWYLEwZxJY7Et8w24lzjw
144,gus's drive in,97.0,"1657 W 3rd St,Los Angeles, CA 90017",tradamerican,3.5,2.0,476,J5VIIA_KdB33zQR8vgo5MA
145,california hot chicken,96.0,"3335 S Figueroa St,Los Angeles, CA 90007",chickenshop,4.0,2.0,84,BEzukW4aJ5mHu9AULtIGdA
146,the boil daddy - dtla,95.0,"1225 E Washington Blvd,Unit C,Los Angeles, CA 90021",cajun,4.0,,17,yWVGmtbVXGuRLOZ1zR64Yw
147,guerrilla tacos,90.0,"2000 E 7th St,Los Angeles, CA 90021",tacos,4.0,2.0,944,SNlf3YpKkDG-e4R9jkwLhA
148,brera ristorante,90.0,"1331 E 6th St,Los Angeles, CA 90021",italian,4.0,3.0,712,aUSK0oQR4ey0rFoDfCXaPw
149,pizza next door,94.0,"806 W 8th St,Unit B,Los Angeles, CA 90017",pizza,4.0,1.0,469,r3P7aRD9HwskzoqnwxRhxg
150,shabuya,93.0,"1925 W Olympic Blvd,Los Angeles, CA 90006",seafood,4.0,2.0,689,tGusz6xqBBABc1awGP1aLA
151,kobawoo house,91.0,"698 S Vermont Ave,Ste 109,Los Angeles, CA 90005",korean,4.5,2.0,1316,TWHGJkTAbF22hvXeReQp9w
152,villa moreliana,96.0,"317 S Broadway,Grand Central Market,Los Angeles, CA 90013",mexican,4.5,1.0,459,eTDN9KE5LAjQdai_8J6pZg
